temperature Average 2017,k,c
Atlanta,290,16.6226731409556
Chicago,283,10.2005727940784
Houston,294,21.0542678976925
Miami,298,25.0312740851362
Minneapolis,281,7.5504894209643
Nashville,289,15.4163055273963
New York,285,12.2504055582846
San Antonio,294,20.6356460507957
San Francisco,288,15.0058205363731
Seattle,284,11.2596262425057
