State_Name,City,Zip_Code,Lat,Lon,Mean,Median,Stdev
Florida,Miami,33186,25.678651199999997,-80.40597559999999,58154,51822,39998
Florida,Miami,33186,25.666703,-80.390079,77576,69216,51314
Florida,Miami,33186,25.6364556,-80.4243943,81968,67477,62550
Florida,Miami,33177,25.604096300000002,-80.41811750000001,68076,300000,40030
Florida,Miami,33186,25.6220033,-80.4196328,75533,300000,50499
Florida,Miami,33160,25.9290515,-80.141806,65160,54918,49653
Florida,Miami,33167,25.8891438,-80.23547679999999,46754,34114,39977
Florida,Miami,33142,25.8624435,-80.31871009999999,33073,21975,31164
Florida,Miami,33138,25.840337100000003,-80.1766328,74554,56686,65830
Florida,Miami,33142,25.8180833,-80.24462729999999,36637,24355,32957
Florida,Miami,33137,25.8291676,-80.191963,29250,20232,30173
Florida,Miami,33127,25.8074225,-80.1990921,53191,35516,52723
Florida,Miami,33136,25.792413800000002,-80.2015118,22164,13361,23311
Florida,Miami,33125,25.7887074,-80.2644376,27975,22992,20403
Florida,Miami,33135,25.771442699999998,-80.2186539,22526,19332,17043
Florida,Miami,33126,25.768043300000002,-80.2634738,59051,42013,53303
Florida,Miami,33142,25.7428824,-80.29817249999999,75351,59933,58561
Florida,Miami,33135,25.7616243,-80.2346304,38795,25025,37531
Florida,Miami,33130,25.7459487,-80.1945364,91996,73213,76707
Florida,Miami,33133,25.7389214,-80.2494071,50056,38892,45346
Florida,Miami,33156,25.6787012,-80.3289477,105816,83925,78964
Florida,Miami,33176,25.6754407,-80.35026579999999,113112,94711,79002
Florida,Miami,33173,25.696316500000002,-80.3601105,56105,51824,39305
Florida,Miami,33165,25.7400585,-80.3476947,57061,44370,53316
Florida,Miami,33174,25.772402800000002,-80.3744099,38096,32641,28290
Florida,Miami,33174,25.7722484,-80.36276459999999,62224,48385,51230
Florida,Miami,33180,25.965543399999998,-80.15370820000001,118452,91903,73206
Florida,Miami,33157,25.590348000000002,-80.3774696,35269,25687,29772
Florida,Miami,33157,25.589048000000002,-80.3259168,73055,58846,59613
Florida,Miami,33175,25.7773664,-80.42598819999999,0,0,0
Florida,Miami,33144,25.747286399999997,-80.4685081,86375,76591,55568
Florida,Miami,33175,25.721637100000002,-80.4267493,63628,56555,41435
Florida,Miami,33183,25.7074612,-80.4026145,49313,38805,38303
Florida,Miami,33196,25.680342800000002,-80.43808349999999,60131,48438,41878
Florida,Miami,33186,25.6784107,-80.39539090000001,70993,55505,58020
Florida,Miami,33186,25.6220033,-80.4196328,80320,65547,57031
Florida,Miami,33180,25.9408377,-80.14506659999999,68912,48753,52758
Florida,Miami,33169,25.9216765,-80.19905200000001,41844,26958,42079
Florida,Miami,33147,25.8654634,-80.22096490000001,37904,28825,27820
Florida,Miami,33167,25.872823,-80.2211655,38949,31754,27266
Minnesota,Minneapolis,55430,45.045480299999994,-93.30869890000001,70497,49135,58578
Minnesota,Minneapolis,55418,45.026556799999994,-93.25030079999999,68157,62271,48955
Minnesota,Minneapolis,55413,45.0087925,-93.2668994,51352,43727,45014
Minnesota,Minneapolis,55411,44.987998100000006,-93.3032245,47586,38652,38827
Minnesota,Minneapolis,55403,44.960012899999995,-93.2829297,48029,33555,39899
Minnesota,Minneapolis,55408,44.944841700000005,-93.2830363,24339,10994,28921
Minnesota,Minneapolis,55407,44.9429041,-93.2572053,57813,48486,38848
Minnesota,Minneapolis,55410,44.9151125,-93.3136735,147891,132498,85330
Minnesota,Minneapolis,55417,44.909770200000004,-93.25435379999999,91115,300000,55811
Minnesota,Minneapolis,55417,44.910575099999996,-93.2348551,88926,300000,58887
Minnesota,Minneapolis,55419,44.8970126,-93.3054316,94043,101590,46154
Minnesota,Minneapolis,55419,44.896108899999994,-93.2768378,53885,39759,49144
Minnesota,Minneapolis,55410,44.9123154,-93.3407063,190184,300000,73874
Minnesota,Minneapolis,55418,45.0258747,-93.2709248,65469,56442,38678
Minnesota,Minneapolis,55412,45.0175949,-93.2872546,42931,41351,24387
Minnesota,Minneapolis,55411,45.0098845,-93.3117573,37949,28405,34032
Minnesota,Minneapolis,55411,45.0038655,-93.3142464,48410,50330,30985
Minnesota,Minneapolis,55413,45.002987299999994,-93.2534279,41038,20998,42037
Minnesota,Minneapolis,55411,44.9862752,-93.2927796,21886,16565,29221
Minnesota,Minneapolis,55414,44.9919071,-93.2208809,65308,44762,54023
Minnesota,Minneapolis,55454,44.9695244,-93.241219,12471,8069,10948
Minnesota,Minneapolis,55405,44.9726602,-93.3140888,117284,99160,81554
Minnesota,Minneapolis,55411,44.9683365,-93.2953733,159471,300000,78947
Minnesota,Minneapolis,55404,44.9625323,-93.2537455,24385,8847,33928
Minnesota,Minneapolis,55405,44.956132000000004,-93.29936090000001,104205,300000,74428
Minnesota,Minneapolis,55404,44.9546343,-93.2829632,39580,24568,36116
Minnesota,Minneapolis,55405,44.9444245,-93.3014752,59973,51025,43247
Minnesota,Minneapolis,55406,44.94233870000001,-93.22853740000001,43709,41153,32326
Minnesota,Minneapolis,55410,44.93574829999999,-93.31568270000001,64182,44639,51489
Minnesota,Minneapolis,55408,44.93771629999999,-93.28138,53908,36926,59271
Minnesota,Minneapolis,55410,44.9260023,-93.32396120000001,110276,99760,64324
Minnesota,Minneapolis,55407,44.930212299999994,-93.2482858,61966,300000,32574
Minnesota,Minneapolis,55406,44.92251029999999,-93.2082804,118509,300000,61857
Minnesota,Minneapolis,55419,44.9214261,-93.2814329,95033,98231,65696
Minnesota,Minneapolis,55410,44.9115973,-93.3239407,133262,300000,77975
Minnesota,Minneapolis,55419,44.9080472,-93.29417509999999,99193,93389,64530
Minnesota,Minneapolis,55411,45.0095917,-93.30126700000001,45665,39166,37670
Minnesota,Minneapolis,55404,44.953909499999995,-93.2672902,30057,15607,40657
Minnesota,Minneapolis,55418,45.0167956,-93.2422222,70635,59890,51747
Minnesota,Minneapolis,55403,44.960012899999995,-93.2829297,46903,33126,43320
Minnesota,Minneapolis,55410,44.9151125,-93.3136735,133359,114570,79859
Minnesota,Minneapolis,55417,44.8980612,-93.2152827,69004,60458,50515
Minnesota,Minneapolis,55413,44.994407200000005,-93.2031343,42697,36954,36413
Minnesota,Minneapolis,55406,44.937009100000004,-93.1969939,130301,300000,58821
