City,Mean
Atlanta,76480.66129032258
Chicago,63975.973154362415
Houston,68297.5
Miami,61431.583333333336
Minneapolis,71931.6603773585
Nashville,61077.97777777778
New York,88873.6275862069
San Antonio,61195.11851851852
San Francisco,100856.92207792208
Seattle,85278.7076923077
