Year, Number
2014,288
2015,241
2016,210
2017,192
2013,170
2012,95
2011,79
2007,56
2010,51
2008,48
2009,44
2006,27
2003,22
2005,15
2004,14
2002,10
2018,5
1998,4
2001,3
2000,3
1999,3
1997,2
